unit,inner_phone,category,name,outer_phone,fax
אגף מחשוב וטכנולוגיות מידע,036406771,מינהל כללי,מערכות תלמידים,,036409878
אגף מחשוב וטכנולוגיות מידע,036408385,מינהל כללי,הרשאות גישה למערכות מידע מינהליות,,036409878
אגף מחשוב וטכנולוגיות מידע,036408305,מינהל כללי,הפעלה,,036405158
אגף מחשוב וטכנולוגיות מידע,036407847,מינהל כללי,צוות וידאו ,,036405158
אגף מחשוב וטכנולוגיות מידע,036408109,מינהל כללי,אחזקת מחשבים אישיים-טכנאים,,036405158
אגף מחשוב וטכנולוגיות מידע,036407374,מינהל כללי,מקינטוש,,036405158
אגף מחשוב וטכנולוגיות מידע,036408643,מינהל כללי,מערכות מקומיות + Exchange,,036405158
אגף מחשוב וטכנולוגיות מידע,036408053,מינהל כללי,מערכות תשתית / DBA,,036409878
אגף מחשוב וטכנולוגיות מידע,036407043,מינהל כללי,מערכות תקשורת כללי,,036405158
אגף מחשוב וטכנולוגיות מידע,036409117,מינהל כללי,מערכות ניהול משתמשים,,036405158
אגף מחשוב וטכנולוגיות מידע,036408586,מינהל כללי,פיתוח מאגרי אינטרנט,,036405158
אגף מחשוב וטכנולוגיות מידע,036409210,מינהל כללי,יעוץ מדעי וסטטיסטי,,036405158
אגף מחשוב וטכנולוגיות מידע,036408885,מינהל כללי,מערכות  unix/linux,,036405158
אגף מחשוב וטכנולוגיות מידע,036408311,מינהל כללי,מערכות הפעלה IBM,,036405158
אגף מחשוב וטכנולוגיות מידע,036408083,מינהל כללי,טכנאי תקשורת - תשתיות וציוד תקשורת,,036405158
דובר האוניברסיטה - קשרי עתונות,036405050,מינהל כללי,מערך הדוברות,,6408741
החברה הכלכלית,03-6406676,שונות,החברה הכלכלית,,
מזנונים,036409654,שונות,בניין גילמן קפיטריה (אפרופו),6424269,6424254
מזנונים,,שונות,"בניין שרת-""אתר ההסעדה"" ""מקדונלד'ס""",6414819,6412254
מזנונים,036404166,שונות,"בניין שרת-""אתר ההסעדה"" ""בשר ורוח""",,6421596
מזנונים,,שונות,"בניין שרת-""אתר ההסעדה"" ""עלים ירוקים""",6439181,6439181
מזנונים,036406878,שונות,"בניין שרת-""אתר ההסעדה"" ""למון גראס""",,6422646
מזנונים,,שונות,"ביה""ס להנדסאים קפיטריה",6420358,7441096
מזנונים,,שונות,כיכר אנטין - בניין מיטשל מזנון בייגל טו-גו,7440005,6349559
מזנונים,,שונות,כיכר אנטין - בניין מיטשל בית קפה קופי-שופ,6438639,6349559
מזנונים,036408122,שונות,"בניין וולפסון להנדסת מכונות קפיטריה ע""ש פיינר שונברג",,6424254
מזנונים,036406536,שונות,בניין יד אבנר קפיטריה,,6421596
מזנונים,,שונות,בניין שנקר קפיטריה (לב),,6424059
מזנונים,036406593,שונות,בניין ווב מועדון הסגל,,
מזנונים,036408406,שונות,בניין מכסיקו קפיטריה,,
מזנונים,036408354,שונות,"בניין טרובביץ למשפטים קפיטריה ע""ש אדה ויוסף אסאו",6421596,6421596
מזנונים,036409653,שונות,"בניין נפתלי קפיטריה ע""ש סוסי  לובשטיין",,6406541
מזנונים,036409572,שונות,בניין רפואה קפיטריה,,
מזנונים,036406585,שונות,בניין רפואת שיניים קפיטריה,,6406239
מזנונים,036407344,שונות,בניין רקנאטי- עגלה,,5493866
מזנונים,,שונות,בניין דן דוד- עגלה,,6424059
מזנונים,036409653,שונות,בניין ברגלס- (כלכלה) עגלה,,6406541
מזנונים,,שונות,בניין שרמן -עגלה,5330911,6349559
מזנונים,,שונות,בניין רוזנברג- עגלה,5330911,6349559
מזנונים,036409654,שונות,בניין כיתות הנדסה עגלה,,6424254
אגודת הסטודנטים,036407666,שונות,אגודת הסטודנטים,,036407665
אגודת הסטודנטים,,שונות,ג'וב טוב,7450111,
אגודת הסטודנטים,,שונות,נ.כ.ס.,6427083,
"אגודת ידידי אוניברסיטת ת""א",036406401,שונות,אגודת ידידי אוניברסיטת תל אביב,,6407294
"מועדון האוניברסיטה ע""ש מרסל גורדון",036408198,שונות,"מועדון האוניברסיטה ע""ש מרסל גורדון",,036408420
"מרכז הספורט  ע""ש גולדרייך",036408909,שונות,"מרכז הספורט  ע""ש גולדרייך .",6420154,036409674
"מרכז הספורט  ע""ש גולדרייך",036408440,שונות,מזכירות הספורט,,036409674
"מרכז הספורט  ע""ש גולדרייך",036408909,שונות,מזכירות רישום מנויים,,6420154
"מרכז הספורט  ע""ש גולדרייך",036405259,שונות,מדור רישום חינוך גופני חובה,,
ועדים,036408250,שונות,ועד העובדים - סגל מנהלי,6428816,036406790
ועדים,036408924,שונות,ועד העובדים - סגל אקדמי זוטר,6436106,036406214
ועדים,036407453,שונות,ועד העובדים - סגל אקדמי בכיר,,036406146
ועדים,036405208,שונות,ארגון גמלאים – סגל מינהלי,,036405208
בית התפוצות,,שונות,"לשכת מנכ""ל",7457888,7457891
בית התפוצות,,שונות,קשרי חוץ,7457873,7457891
בית התפוצות,,שונות,שיווק,7457870,7457882
בית התפוצות,,שונות,אירועים,7457880,7457882
בית התפוצות,,שונות,יחסי ציבור ופרסומים,7457883,7457831
בית התפוצות,,שונות, קופה ומודיעין,7457895,7457831
בית התפוצות,,שונות,"מאגרי מידע , גינאולוגיה ומחקר",7457858,7457831
בית התפוצות,,שונות,מרכז הזמנות,7457808,7457811
בית התפוצות,,שונות,מרכז לתיעוד חזותי,7457851,7457831
בית התפוצות,,שונות,תערוכות מתחלפות,7457842,7457831
דיונון,036408672,שונות,דיונון - משרדים,6427545,6423149
דיונון,036408413,שונות,דיונון - חנות,6410351,
דיונון,,שונות,דיונון פפירוס - הוצאה לאור,,6430156
רמות,036408113,שונות,רמות,6403400,6424146
רמות,036408113,שונות,הנהלה פרוייקטים וכספים,6403400,
רמות,,שונות,פרוייקטים,,6438764
רמות,036406608,שונות,פיתוח עסקים ופטנטים,6406608,6406675
רמות,036408113,שונות,הוצאה לאור,6403400,6424146
רמות,036408113,שונות,הדרכה,6403400,6424146
מנהלי גושים/בתים,036408559,שונות,אורנשטיין - כימיה,,036409264
מנהלי גושים/בתים,036409740,שונות,אולמות דולפי ולולה אבנר,,036409310
מנהלי גושים/בתים,036408548,שונות,"האקדמיה הישראלית למוסיקה ע""ש סמואל רובין",,036405463
מנהלי גושים/בתים,036409700,שונות,"ביוטכנולוגיה ע""ש ג'ק גרין",,036406748
מנהלי גושים/בתים,036409937,שונות,בית אבנר - גאוגרפיה,,036406243
מנהלי גושים/בתים,036406620,שונות,"בית כנסת ומרכז למורשת היהדות ע""ש צימבליסטה",,036408024
מנהלי גושים/בתים,036408500,שונות,בית המכונות,,036408891
מנהלי גושים/בתים,036405804,שונות,"בית הספר  לניהול היי-טק  ע""ש ג'ורג' לאווואן",,036405531
מנהלי גושים/בתים,036408503,שונות,"בית הספר להנדסאים ע""ש יוסף מיירהוף",,036407094
מנהלי גושים/בתים,036405810,שונות,"בית הספר לכלכלה ע""ש איתן ברגלס",,036409908
מנהלי גושים/בתים,036409700,שונות,"בריטניה ע""ש משפחת כהן- פורטר - מדעי החיים",,036406748
מנהלי גושים/בתים,036409220,שונות,"מדעי הרוח- ע""ש יצחק ורוזה גילמן",,036409457
מנהלי גושים/בתים,036408860,שונות,"הגלריה האוניברסיטאית לאמנות ע""ש גניה שרייבר",,036409020
מנהלי גושים/בתים,036409056,שונות,גן מאיר סיגל למחקר זואולוגי,,036406748
מנהלי גושים/בתים,036409910,שונות,גנים בוטניים,,036409151
מנהלי גושים/בתים,036408480,שונות,"דה-בוטון  מרכז הסטודנטים  ע""ש פורטונה .",,036409690
מנהלי גושים/בתים,036406004,שונות,דן דוד לכיתות,,036405186
מנהלי גושים/בתים,036409029,שונות,המכון לחקר הדגנים,,036407857
מנהלי גושים/בתים,036408690,שונות,"המרכז למרשם - ע""ש דסנברג-וולף",,036408371
מנהלי גושים/בתים,036405196,שונות,"ביה""ס לשפות  ע""ש משפחת  מקס ווב",,036406252
מנהלי גושים/בתים,036408869,שונות,וולפסון- להנדסת חשמל,,036407050
מנהלי גושים/בתים,036408121,שונות,וולפסון - להנדסה מכנית,,036407050
מנהלי גושים/בתים,036408772,שונות,"טרובוביץ –משפטים וספריה למשפטים ע""ש דויד י. לייט",,036407259
מנהלי גושים/בתים,036408919,שונות,לימודי הנדסה (כיתות חשמל),,036407050
מנהלי גושים/בתים,036409919,שונות,"מגדל למחקר רפואי ע""ש דוד גלסברג",,036407586
מנהלי גושים/בתים,036408198,שונות,"מועדון האוניברסיטה ע""ש מרסל גורדון",,036408420
מנהלי גושים/בתים,036408406,שונות,"מכסיקו  לאמנויות ע""ש פאני וישניאק",,036408406
מנהלי גושים/בתים,036406220,שונות,"מנהלה ע""ש יצחק ואלפרד גוטמן",,
מנהלי גושים/בתים,036408367,שונות,"מעונות הסטודנטים ע""ש סימון בוליבר",,6413671
מנהלי גושים/בתים,036405070,שונות,"מקצועות הבריאות ע""ש סטייר",,036405071
מנהלי גושים/בתים,036408559,שונות,"מרכז החישובים ע""ש לואיס קולדר הבן",,036409118
מנהלי גושים/בתים,036409633,שונות,"מרכז הסטודנטים ע""ש אריק מיטשל",,036409690
מנהלי גושים/בתים,036408909,שונות,"מרכז הספורט ע""ש גולדרייך",,6420154
מנהלי גושים/בתים,036409526,שונות,"פרץ נפתלי למדעי החברה , אודיטוריום בר שירה",,036409518
מנהלי גושים/בתים,036407962,שונות,"בנין הסנאט ע""ש ג'ורג' ס. וייז",,
מנהלי גושים/בתים,036408444,שונות,ספרית וינר,,036407833
מנהלי גושים/בתים,036409525,שונות,"ספריה למדעי החברה ולניהול ע""ש ברנדר- מוס",,036407840
מנהלי גושים/בתים,036406402,שונות,"ספריה למדעי החיים ולרפואה ע""ש גיטר-סמולרש",,036407592
מנהלי גושים/בתים,036408561,שונות,"ספריה למדעים מדויקים ולהנדסה ע""ש ניימן",,036408807
מנהלי גושים/בתים,036408772,שונות,"ספריה למשפטים ע""ש דוד י. לייט",,036407093
מנהלי גושים/בתים,036408444,שונות,"ספריה מרכזית ע""ש אליאס סוראסקי",,036407833
מנהלי גושים/בתים,036408559,שונות,"קפלון  ע""ש ד""ר שאול",,036409264
מנהלי גושים/בתים,036409390,שונות,"חקר התפוצות  ע""ש ויקטור ואדריאה קרטר",,036405542
מנהלי גושים/בתים,,שונות,רב תחומי  למחקר בהנדסה ובמדעים מדוייקים,,
מנהלי גושים/בתים,036405844,שונות," ע""ש מוריס וגבריאל גולדשלגר",,036407939
מנהלי גושים/בתים,036409050,שונות,"ביה""ס למדעי היהדות ע""ש חיים רוזנברג",,036407031
מנהלי גושים/בתים,036409740,שונות,"ביה""ס לרפואה ע""ש סאקלר",,036409310
מנהלי גושים/בתים,036409431,שונות,"ביה""ס לרפואת שיניים ע""ש מוריס וגבריאלה גולדשלגר",,036409250
מנהלי גושים/בתים,036408496,שונות,"ביה""ס למוסמכים במנהל עסקים  ע""ש ליאון רקנאטי",,036409560
מנהלי גושים/בתים,036409129,שונות,"ביה""ס לעבודה סוציאלית ע""ש בוב שאפל",,036409182
מנהלי גושים/בתים,036408559,שונות,"שנקר פיסיקה לאסטרונומיה ע""ש רבקה ואריה",,036409264
מנהלי גושים/בתים,036408030,שונות,"שרייבר – המכון למתמטיקה ע""ש ולדימיר",,036409357
מנהלי גושים/בתים,036409700,שונות,"שרמן – בנין מדעי החיים  ע""ש ארצי שרמן.",,036406748
מנהלי גושים/בתים,036408677,שונות,"שרת ביה""ס למדעי החינוך",,036409477
מנהלי גושים/בתים,036408424,שונות,תוכנה,,
"בית כנסת ומרכז למורשת היהדות ע""ש צימבליסטה",036408020,שונות,ראש המרכז,,036408024
"בית כנסת ומרכז למורשת היהדות ע""ש צימבליסטה",036408020,שונות,המזכירות,,036408024
"בית כנסת ומרכז למורשת היהדות ע""ש צימבליסטה",036408020,שונות,בית-הכנסת,,036408024
מעונות,036408333,שונות,מעונות הסטודנטים,,36413671
שכר לימוד,036404436,רישום ושכר לימוד,שכר לימוד,,
שכר לימוד,036404433,רישום ושכר לימוד,שכר לימוד,,
שכר לימוד,036408318,רישום ושכר לימוד,המוקד הטלפוני  לענייני שכר לימוד,6408318,036406720
שכר לימוד,036404430,רישום ושכר לימוד,שכר לימוד,,
מינהל תלמידים כללי,036408316,רישום ושכר לימוד,שירותי קורסים וציונים,,036406721
מינהל תלמידים כללי,036406805,רישום ושכר לימוד,היחידה למיון ומחקר,,036408371
מינהל תלמידים כללי,036404896,רישום ושכר לימוד,תיקיה ,,
מינהל תלמידים כללי,036404876,רישום ושכר לימוד,תיקיה ,,
מינהל תלמידים כללי,036408946,רישום ושכר לימוד,מדור תלמידים,,036406721
המוקד הטלפוני לענייני שכר לימוד,036408318,רישום ושכר לימוד,המוקד הטלפוני  לענייני שכר לימוד,6408318,036406720
המוקד הטלפוני לענייני רישום,,רישום ושכר לימוד,המוקד הטלפוני לענייני רישום ,6405550,
מזכירות אגף רישום ומינהל תלמידים,036408088,רישום ושכר לימוד,מנהל אגף רישום ומינהל תלמידים,,036408371
מזכירות אגף רישום ומינהל תלמידים,036408615,רישום ושכר לימוד,מזכירות אגף רישום ומנהל תלמידים,,036408371
רישום וקבלה,036404893,רישום ושכר לימוד,מדעים מדוייקים ,,
רישום וקבלה,,רישום ושכר לימוד,חשבונואות ,,
רישום וקבלה,,רישום ושכר לימוד,מדעי החברה ,,
רישום וקבלה,,רישום ושכר לימוד,ניהול  ,,
רישום וקבלה,036404891,רישום ושכר לימוד,הנדסה ,,
רישום וקבלה,,רישום ושכר לימוד,אמנויות -אדריכלות ,,
רישום וקבלה,036404871,רישום ושכר לימוד,אמנויות  ,,
רישום וקבלה,,רישום ושכר לימוד,רכזות רישום וקבלה - תואר ראשון,,
רישום וקבלה,036404897,רישום ושכר לימוד,מנהלת משרד הרישום והקבלה,,036406722
רישום וקבלה,,רישום ושכר לימוד,המוקד הטלפוני לענייני רישום ,6405550,
רישום וקבלה,036404870,רישום ושכר לימוד,נוער שוחר מדע,,
רישום וקבלה,036404892,רישום ושכר לימוד,"ממונה על שקילות תעודות מחו""ל /עולים",6408317,
רישום וקבלה,036404867,רישום ושכר לימוד,רישום עולים ,,
רישום וקבלה,036404874,רישום ושכר לימוד,רישום לתואר שני ,036404886,
רישום וקבלה,036404870,רישום ושכר לימוד,תקשורת ,,
רישום וקבלה,036404870,רישום ושכר לימוד,"ביה""ס לחינוך ",,
רישום וקבלה,,רישום ושכר לימוד,רכזות רישום וקבלה - תואר שני,,
רישום וקבלה,036404891,רישום ושכר לימוד,אדריכלות ,,
רישום וקבלה,036404873,רישום ושכר לימוד,מדעי הרוח  ,,
רישום וקבלה,036404873,רישום ושכר לימוד,"ביה""ס לעבודה סוציאלית ",,
רישום וקבלה,036404871,רישום ושכר לימוד,פיזיותרפיה ,,
רישום וקבלה,036404871,רישום ושכר לימוד,סיעוד ,,
רישום וקבלה,036404872,רישום ושכר לימוד,הפרעות בתקשורת ,,
רישום וקבלה,036404897,רישום ושכר לימוד,משפטים ,,
רישום וקבלה,036404872,רישום ושכר לימוד,"ביה""ס לרפואת שיניים",,
רישום וקבלה,036404895,רישום ושכר לימוד,אחראית רישום לתואר שני ,,
רישום וקבלה,,רישום ושכר לימוד,רפואה ,,
רישום וקבלה,036404872,רישום ושכר לימוד,"ביה""ס לרפואה",,
רישום וקבלה,036408710,רישום ושכר לימוד,מנהלת ומזכירות משרד הרישום והקבלה,,036406722
"משרד המנכ""ל",036408637,הנהלה,משרד המנהל הכללי,6410210,036409720
לשכת היועץ המשפטי,036408498,הנהלה,לשכת היועץ המשפטי,6415642,036409724
לשכת סגן הנשיא לקשרי חוץ,036408226,הנהלה,לשכת סגן הנשיא לקשרי חוץ,6415278,6422752
לשכת הרקטור,036408280,הנהלה,לשכת הרקטור,6418977,036407174
לשכת מבקר האוניברסיטה,036408490,הנהלה,לשכת מבקר האוניברסיטה,6421258,036407264
לשכת סגן הנשיא למחקר ופיתוח,036408475,הנהלה,לשכת סגן הנשיא למחקר ופיתוח,,036409352
